beneficiary,managedAmount,startTime,endTime,periods,revocable,releaseStartTime,vestingCliffTime
0x791f4Dac8Aa0bf033C7956831AEebeec82AF8f12,124942.3,1684771200,1700672400,1,2,0,0
0xF2608980e5499a811E61eB51E610C5a4D1D22E49,61133.8,1684771200,1700672400,1,2,0,0
0xC50C13d713B18F353260Ce8287118A660e5e3d7b,128951.2,1684771200,1700672400,1,2,0,0
0x12F7384525E552D64D11Fe0C8911D918e54E76f3,36358.7,1684771200,1700672400,1,2,0,0
0xf3d2BaE54313a3991b086D93576d953D0baE7241,8441.16,1684771200,1700672400,1,2,0,0
0x757b40f2CDd612c4D566b1f8B2c9A4Af2A862074,172316.9,1684771200,1700672400,1,2,0,0
0x76340a7C034195C61a04ca70c26fA40C53562925,109293.8,1684771200,1700672400,1,2,0,0
0x748aefb5c1C30C4a4ea963a6C49E90c00Bdca15B,77932.75,1684771200,1700672400,1,2,0,0
0xe272231709df60CA50D0fF29fD4694a59c9C3fA2,119096.25,1684771200,1700672400,1,2,0,0
0x735b85c939cA8ebD407Eca85A6580Be30E5136Cf,86371.95,1684771200,1700672400,1,2,0,0
0xe39D76148eFbB1947E9c92BA16ecC2B4156aF406,101639.3,1684771200,1700672400,1,2,0,0
0x7239B1896ad2b6A9D3aA6C4B12D8993E78fb67Dc,9700.6,1684771200,1700672400,1,2,0,0
0x3a52ad1a705B3e586B9595EB35319c165544D6f2,133328.65,1684771200,1700672400,1,2,0,0
0x70fB225898021D08511515Aa9520741ed3153143,111726.58,1684771200,1700672400,1,2,0,0
0x704F48f8265844AC0a2BE63c95DfE9384A862570,127976.45,1684771200,1700672400,1,2,0,0
0x6fb74B16645466A5F614fD80Fb04fCB07CFb4E74,67816.7,1684771200,1700672400,1,2,0,0
0x6f6Dd5E112e38850F6f4dd8028792b5fc9e3c667,83078.1,1684771200,1700672400,1,2,0,0
0x6E54595363b20a0296B1C3b430FcB4c822D00C20,107874.48,1684771200,1700672400,1,2,0,0
0x4da42D441842906FD882787C4EcBb9850d477c1f,115176.6,1684771200,1700672400,1,2,0,0
0x157391076ae1B71Eb58ED5199C8a5237C0Ba5427,125276.2,1684771200,1700672400,1,2,0,0
0xF1519B198DAE77C062805C58F8Abc9f67BAA6Bc8,50417.5,1684771200,1700672400,1,2,0,0
0x6B351C6093dEBB19Db7E8Aa6B6009e62CE05442b,141960,1684771200,1700672400,1,2,0,0
0xdFDC7b671148762f707F80810beB0Ed4c79b5f33,129727.5,1684771200,1700672400,1,2,0,0
0x2a07e7F34377370B40D499a29DF08221c7a2036A,106069.6,1684771200,1700672400,1,2,0,0
0x83c08193d9F5BDAEB7C36c95B93878C86fD0F2bE,74269.3,1684771200,1700672400,1,2,0,0
0x1b7c31284CC315E404E75d00Aecb785EE461539E,2730,1684771200,1700672400,1,2,0,0
0x681eEb8ac0216742c17CE83c42B8dC2C4cFb5571,136659.25,1684771200,1700672400,1,2,0,0
0x64b1C4F237D0882C32d9959fECbf17F66F412811,123652.55,1684771200,1700672400,1,2,0,0
0x65E17Ebc9fE2681560F381b5Db92DdA4c017AebD,96388.25,1684771200,1700672400,1,2,0,0
0x65a077ebD29e5e7eD8997a4B923Dc7dbdb7c98A3,75307.75,1684771200,1700672400,1,2,0,0
0x83068dcFb9D495FFc1AA44e0248cDC7f4B9957Fe,39471.6,1684771200,1700672400,1,2,0,0
0xb24909682Bc69f41171f107281EDDb0e26ffC75a,30299.5,1684771200,1700672400,1,2,0,0
0x641bcD1F80570dF8A8f2349321EC58cF6C875D06,178579.45,1684771200,1700672400,1,2,0,0
0xD85EEBf7C4ACcf1A3d823E83CA5E6DB5A5E9B3B1,120548.96,1684771200,1700672400,1,2,0,0
0x0874e792462406dc12EE96b75E52A3BdbBA3a123,52382.4,1684771200,1700672400,1,2,0,0
0x61C713fF1Fda089188f7B450DF224d1B96467E21,76769,1684771200,1700672400,1,2,0,0
0xf10e8b371FA229E35E86b5a0328e1f5077B39026,125643.7,1684771200,1700672400,1,2,0,0
0x585A164f4710c85e9A3811c03eC7406AB62B5474,127985.9,1684771200,1700672400,1,2,0,0
0xe0091f59C5b9a3D2a6d48A78A67D4E313a95B730,53558.4,1684771200,1700672400,1,2,0,0
0x318B7b6D66908cebBC6D49021a3525EB566b5Ee3,82392.1,1684771200,1700672400,1,2,0,0
0x6f76e397Bb71f99F805EE6c63b47222c5D39b162,70451.15,1684771200,1700672400,1,2,0,0
0x5DFAA93d504C1BeBeEf4EF9e60827f13D4200485,120596,1684771200,1700672400,1,2,0,0
0x8b80Bb6E30c3325D894F8291c1EE3Bf12027eEF1,73960.6,1684771200,1700672400,1,2,0,0
0xfeef177E6168F9b7fd59e6C5b6c2d87FF398c6FD,51978.5,1684771200,1700672400,1,2,0,0
0x59c63172012ED4AB5611D76313B3bcf2Da5E6298,93705.22,1684771200,1700672400,1,2,0,0
0x6bEc0BCA2F15876f675f2C38958Ff986551e4db1,54120.5,1684771200,1700672400,1,2,0,0
0xD9308E0678a9Cf1D95BAA059C4E90766bC162810,124380.2,1684771200,1700672400,1,2,0,0
0x44cBfC9E75C64c0d1F780B724a6f76e9a61C20d0,136631.04,1684771200,1700672400,1,2,0,0
0xDE043AE6074df112638cdEE0b7959BF25557cC09,117008.5,1684771200,1700672400,1,2,0,0
0x51EfaE535bEdaCf6bDdDf858CD86Bc060B30f6FD,130608.8,1684771200,1700672400,1,2,0,0
0x7e5563Bf8b96E40b1Dbf4A31Dc2C8aF5E514c1bc,105597.1,1684771200,1700672400,1,2,0,0
0xE66C7ebab84ed1d016Ba5659c50b59ceEEFA81d9,124098.1,1684771200,1700672400,1,2,0,0
0x6469B304E6FcFD18cfF24FB358c4918D41ae837C,127446.55,1684771200,1700672400,1,2,0,0
0x15bc580cd242f1757891F50B9a2C70213E73b97f,60458.3,1684771200,1700672400,1,2,0,0
0x1819ebA4F13d2693756D38Acf8D3E9aAbBD8fdB5,21773.5,1684771200,1700672400,1,2,0,0
0x4e2186A8b6204058E0824013B6104f67024F5d70,68747.35,1684771200,1700672400,1,2,0,0
0x022fcB32644e83386e1d49F8cbF6708a0FaA4470,3549,1684771200,1700672400,1,2,0,0
0xe34eC53F180274087f0083abeEb691875f9F1305,118625.5,1684771200,1700672400,1,2,0,0
0xbdf1C7049075001B860252035f5A4B52b76c5e6a,123689.3,1684771200,1700672400,1,2,0,0
0xCb52305c31b0a196c79eb23f2F5Fb89b805a885c,138001.5,1684771200,1700672400,1,2,0,0
0x7306D27272628Cf33e08656273756A803b1046F8,9975,1684771200,1700672400,1,2,0,0
0x480a3dC95AbB275f1533555c708be44fEc72d608,95018.14,1684771200,1700672400,1,2,0,0
0x466ba322AAf64BFa0979D4180aF1815067742878,108823.4,1684771200,1700672400,1,2,0,0
0xd2ddb211Bca4445E334d69e0A1ecD318Bc49318B,116137,1684771200,1700672400,1,2,0,0
0x4589849D3E00d192556f4aAf3d9D2b4ed0DBDEf0,93434.6,1684771200,1700672400,1,2,0,0
0x77284E54A5f7C00e511D855B267e859842dDCCa9,123414.55,1684771200,1700672400,1,2,0,0
0x2dAb77D1B2C26Bd2eA2E3a64AB3abbFa05278906,17972.5,1684771200,1700672400,1,2,0,0
0xEeB22b8dA7FC62b546A98f7898f868b52590e251,61421.5,1684771200,1700672400,1,2,0,0
0x65B0d99D2D3bc6bFBfccFc4a17DCD77c1EB8d5D6,107896.95,1684771200,1700672400,1,2,0,0
0xF7fCCdFafD0f9f42d9606951B893a3AbAd4Cc959,119410.9,1684771200,1700672400,1,2,0,0
0x7AEf3d7BaFFF84eDadc678892AcDfd767d8C9041,90440.35,1684771200,1700672400,1,2,0,0
0x55a4a7f4F0095034C5135aF53Ab1d9dacC410f32,138056.8,1684771200,1700672400,1,2,0,0
0x3a13ADc4b102f20d920D902e735C951560579523,117415.9,1684771200,1700672400,1,2,0,0
0x4207df52F7fF229364899b21E9C4AD36D3D42981,71504.65,1684771200,1700672400,1,2,0,0
0x2F6b5d4C297552418449b23F088A12d82a2670f8,71285.2,1684771200,1700672400,1,2,0,0
0x20E926a654B7B2B97e7503d0f31c09c12ae1011A,133061.6,1684771200,1700672400,1,2,0,0
0x1f90ACb4Cdb238858C7347c9FbD8A1C44cAA7928,127341.2,1684771200,1700672400,1,2,0,0
0x0e3201bc8b904b36269eF61632B005EA53d10591,3549,1684771200,1700672400,1,2,0,0
0x40BAA42FFdDE33c400A7f1279A9327721Bd40a48,77887.6,1684771200,1700672400,1,2,0,0
0x4096B3426b98DF0675a05d045badbFBB7c6f6A75,125697.25,1684771200,1700672400,1,2,0,0
0x40491850d7F60E898164D3530389f48A69b6EdBD,89665.45,1684771200,1700672400,1,2,0,0
0xd6e9d9CF96C6BeC0Ac88eE00202aebDbd1fa3432,1774.5,1684771200,1700672400,1,2,0,0
0xFA5D456a91d9Ce59d3a11907b1aCdf15F1aAF707,112387.8,1684771200,1700672400,1,2,0,0
0x3e1536Fc83cD5bed83A521A26034fF3E59c6A7c4,104874.7,1684771200,1700672400,1,2,0,0
